flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,TCP,UDP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
0.0,54,6,64,0.0,0.0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,54,54,54,54.0,0.0,54,1704360802.485625,1,10.392304845413264,0.0,0.0,0.0,1
0.0,66,6,128,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,120,54,66,60.0,6.0,66,0.00084686279296875,2,10.954451150103322,8.48528137423857,36.0,1.0,4
0.0003170967102050781,132,6,64,6307.224060150376,6307.224060150376,0,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,1,1,186,54,66,62.0,5.656854249492381,66,0.0003170967102050781,3,11.135528725660043,8.0,32.0,1.0,9
0.0005030632019042969,186,6,128,5963.465402843602,5963.465402843602,0,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0,0,1,1,240,54,66,60.0,6.0,54,0.00018596649169921875,4,10.954451150103322,8.48528137423857,36.0,1.0,16
0.0009000301361083984,776,6,128,4444.295629139073,4444.295629139073,0,0,0,1,1,0,2,0,1,3,0,1,0,1,0,0,0,1,1,830,54,590,166.0,212.067913650321,590,0.00039696693420410156,5,18.2208671582886,299.90931962845036,44972.8,1.0,25
0.0010471343994140625,830,6,64,4774.936247723133,4774.936247723133,0,0,0,0,1,0,2,0,1,4,0,1,0,1,0,0,0,1,1,884,54,590,147.33333333333334,198.03927781012422,54,0.00014710426330566406,6,17.165857586111645,280.0698325616508,39219.555555555555,1.0,36
0.0,54,6,64,4774.936247723133,4774.936247723133,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,938,54,590,134.0,186.2348747453832,54,0.86639404296875,7,16.3707055437449,263.37588565177555,34683.42857142857,1.0,49
0.0,54,6,64,4774.936247723133,4774.936247723133,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,992,54,590,124.0,176.20442673213407,54,0.0001678466796875,8,15.748015748023622,249.19069003476034,31048.0,1.0,64
0.0,66,6,128,4774.936247723133,4774.936247723133,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1058,54,590,117.55555555555556,167.12411296938114,66,0.0006711483001708984,9,15.333333333333334,236.34918716087208,27930.469135802472,1.0,81
0.00019598007202148438,132,6,64,10205.119221411192,10205.119221411192,0,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,1,1,1124,54,590,112.4,159.3004708090971,66,0.00019598007202148438,10,14.99333185119305,225.28488631064445,25376.64,1.0,100
0.0003719329833984375,186,6,128,8065.969230769231,8065.969230769231,0,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0,0,1,1,1178,54,590,107.0909090909091,152.81209765618246,54,0.00017595291137695312,11,14.6349519364369,216.10894100005507,23351.537190082636,1.0,121
0.0,66,6,128,8065.969230769231,8065.969230769231,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1244,54,590,103.66666666666667,146.74656914407083,66,4.506111145019531e-05,12,14.39907404430345,207.53098831526611,21534.55555555556,1.0,144
0.00018596649169921875,132,6,64,10754.625641025641,10754.625641025641,0,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,1,1,1310,54,590,100.76923076923077,141.34635792763916,66,0.00018596649169921875,13,14.196424251848123,199.89393637330915,19978.792899408283,1.0,169
0.0006618499755859375,757,6,128,6043.665706051873,6043.665706051873,0,0,0,1,1,0,2,0,1,3,0,1,0,1,0,0,0,1,1,1881,54,590,134.35714285714286,182.25712102210247,571,5.888938903808594e-05,14,16.392506999061666,257.7504923885318,33217.6581632653,1.0,196
0.000743865966796875,811,6,64,6721.641025641025,6721.641025641025,0,0,0,0,1,0,2,0,1,4,0,1,0,1,0,0,0,1,1,1935,54,590,129.0,177.21437112529372,54,8.20159912109375e-05,15,16.06237840420901,250.61896709280938,31404.933333333334,1.0,225
0.00037384033203125,186,6,128,8024.816326530612,8024.816326530612,0,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0,0,1,1,1989,54,590,124.3125,172.54481981140435,54,4.696846008300781e-05,16,15.767847031221478,244.01522429450995,29771.71484375,1.0,256
0.0005619525909423828,757,6,128,7118.0381841323715,7118.0381841323715,0,0,0,1,1,0,2,0,1,3,0,1,0,1,0,0,0,1,1,2560,54,590,150.58823529411765,197.653903943091,571,0.0001881122589111328,17,17.354436625492493,279.5248316123082,39067.06574394464,1.0,289
0.0006959438323974609,811,6,64,7184.487838300788,7184.487838300788,0,0,0,0,1,0,2,0,1,4,0,1,0,1,0,0,0,1,1,2614,54,590,145.22222222222223,193.35504348091408,54,0.00013399124145507812,18,17.042430708218955,273.4453248439482,37386.172839506165,1.0,324
0.0,76,17,128,7184.487838300788,7184.487838300788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2690,54,590,141.57894736842104,188.83167547328986,76,0.3329939842224121,19,16.82729612079261,267.0483164599614,35657.401662049866,1.0,361
0.0037310123443603516,152,17,128,536.047542973992,536.047542973992,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2766,54,590,138.3,184.60446906832996,76,1704360803.69259,0,16.82729612079261,267.0483164599614,35657.401662049866,1.0,361
